Name,ID,Works API URL,Works Count,H-Index,Country Code
Xuechunzi Bai,https://openalex.org/A5014394213,https://api.openalex.org/works?filter=author.id:A5014394213,33,10,US
Angelina Wang,https://openalex.org/A5002575847,https://api.openalex.org/works?filter=author.id:A5002575847,40,12,US
Ilia Sucholutsky,https://openalex.org/A5053200092,https://api.openalex.org/works?filter=author.id:A5053200092,76,10,US
Thomas L. Griffiths,https://openalex.org/A5077079119,https://api.openalex.org/works?filter=author.id:A5077079119,765,96,US
Babak Heydari,https://openalex.org/A5030641600,https://api.openalex.org/works?filter=author.id:A5030641600,97,20,MX
Majid Elahi Shirvan,https://openalex.org/A5062663565,https://api.openalex.org/works?filter=author.id:A5062663565,99,23,IR
Byunghwee Lee,https://openalex.org/A5039707142,https://api.openalex.org/works?filter=author.id:A5039707142,14,4,KR
Haewoon Kwak,https://openalex.org/A5061923992,https://api.openalex.org/works?filter=author.id:A5061923992,207,38,US
Jisun An,https://openalex.org/A5084955495,https://api.openalex.org/works?filter=author.id:A5084955495,175,30,KR
Rachith Aiyappa,https://openalex.org/A5010544062,https://api.openalex.org/works?filter=author.id:A5010544062,4,2,US
Yong‐Yeol Ahn,https://openalex.org/A5059236838,https://api.openalex.org/works?filter=author.id:A5059236838,238,41,US
Kathleen M. Eisenhardt,https://openalex.org/A5045613469,https://api.openalex.org/works?filter=author.id:A5045613469,208,83,US
Kenneth J. Arrow,https://openalex.org/A5111373420,https://api.openalex.org/works?filter=author.id:A5111373420,791,113,US
Stephen Phillips,https://openalex.org/A5103221858,https://api.openalex.org/works?filter=author.id:A5103221858,377,15,US
Yifan Wang,https://openalex.org/A5100398535,https://api.openalex.org/works?filter=author.id:A5100398535,378,40,CN
Esteban Moro,https://openalex.org/A5088539840,https://api.openalex.org/works?filter=author.id:A5088539840,182,37,US
Guangyuan Weng,https://openalex.org/A5055926787,https://api.openalex.org/works?filter=author.id:A5055926787,34,5,CN
Min Suk Kim,https://openalex.org/A5055692093,https://api.openalex.org/works?filter=author.id:A5055692093,906,76,KR
Ankita Gupta,https://openalex.org/A5012994458,https://api.openalex.org/works?filter=author.id:A5012994458,203,20,IN
Ethan Zuckerman,https://openalex.org/A5049679668,https://api.openalex.org/works?filter=author.id:A5049679668,78,20,US
Brendan O’Connor,https://openalex.org/A5023365550,https://api.openalex.org/works?filter=author.id:A5023365550,284,51,US
Diego Gómez-Zará,https://openalex.org/A5046270537,https://api.openalex.org/works?filter=author.id:A5046270537,35,8,US
Mayukh Banerjee,https://openalex.org/A5021621511,https://api.openalex.org/works?filter=author.id:A5021621511,68,22,US
Daniel M. Romero,https://openalex.org/A5064158757,https://api.openalex.org/works?filter=author.id:A5064158757,108,27,US
David Gamba,https://openalex.org/A5037188851,https://api.openalex.org/works?filter=author.id:A5037188851,5,1,N/A
Grant Schoenebeck,https://openalex.org/A5073672615,https://api.openalex.org/works?filter=author.id:A5073672615,139,21,US
Yuan Wei,https://openalex.org/A5100344847,https://api.openalex.org/works?filter=author.id:A5100344847,210,34,CN
Yiyu Yao,https://openalex.org/A5063696855,https://api.openalex.org/works?filter=author.id:A5063696855,585,86,CN
Andreas Bjerre-Nielsen,https://openalex.org/A5058732791,https://api.openalex.org/works?filter=author.id:A5058732791,33,8,DK
Jacob Aarup Dalsgaard,https://openalex.org/A5040974039,https://api.openalex.org/works?filter=author.id:A5040974039,4,3,DK
Roberta Sinatra,https://openalex.org/A5056242621,https://api.openalex.org/works?filter=author.id:A5056242621,85,28,DK
Rossella Russo,https://openalex.org/A5007136526,https://api.openalex.org/works?filter=author.id:A5007136526,158,38,IT
Maciej Styczen,https://openalex.org/A5060778029,https://api.openalex.org/works?filter=author.id:A5060778029,2,1,CH
Antônio H. Ribeiro,https://openalex.org/A5000836300,https://api.openalex.org/works?filter=author.id:A5000836300,114,15,SE
Robert West,https://openalex.org/A5059645286,https://api.openalex.org/works?filter=author.id:A5059645286,2611,130,NL
Andrea Musso,https://openalex.org/A5007368682,https://api.openalex.org/works?filter=author.id:A5007368682,39,10,CH
Elisabeth Stockinger,https://openalex.org/A5059356040,https://api.openalex.org/works?filter=author.id:A5059356040,6,2,CH
Fred Morstatter,https://openalex.org/A5002709735,https://api.openalex.org/works?filter=author.id:A5002709735,189,34,US
Zhuoyu Shi,https://openalex.org/A5085580030,https://api.openalex.org/works?filter=author.id:A5085580030,1,1,GB
Filippo Menczer,https://openalex.org/A5021346979,https://api.openalex.org/works?filter=author.id:A5021346979,670,75,BR
Kai‐Cheng Yang,https://openalex.org/A5054574752,https://api.openalex.org/works?filter=author.id:A5054574752,122,20,US
Joshua M. Grossman,https://openalex.org/A5043275213,https://api.openalex.org/works?filter=author.id:A5043275213,45,7,US
Julian Nyarko,https://openalex.org/A5017688180,https://api.openalex.org/works?filter=author.id:A5017688180,48,9,US
Sharad Goel,https://openalex.org/A5027036879,https://api.openalex.org/works?filter=author.id:A5027036879,244,39,US
Alicja Chaszczewicz,https://openalex.org/A5092489673,https://api.openalex.org/works?filter=author.id:A5092489673,4,1,N/A
Emma Pierson,https://openalex.org/A5067807487,https://api.openalex.org/works?filter=author.id:A5067807487,104,23,US
Emma Wang,https://openalex.org/A5016545677,https://api.openalex.org/works?filter=author.id:A5016545677,38,10,US
Jure Leskovec,https://openalex.org/A5091272738,https://api.openalex.org/works?filter=author.id:A5091272738,662,138,US
Maya Josifovska,https://openalex.org/A5107545627,https://api.openalex.org/works?filter=author.id:A5107545627,1,0,N/A
Serina Chang,https://openalex.org/A5046445911,https://api.openalex.org/works?filter=author.id:A5046445911,27,9,US
Joshua Z. Levin,https://openalex.org/A5024425176,https://api.openalex.org/works?filter=author.id:A5024425176,164,66,US
Dong‐Hyun Kang,https://openalex.org/A5069137598,https://api.openalex.org/works?filter=author.id:A5069137598,322,54,KR
James Evans,https://openalex.org/A5071261828,https://api.openalex.org/works?filter=author.id:A5071261828,697,59,US
Shiyang Lai,https://openalex.org/A5023898973,https://api.openalex.org/works?filter=author.id:A5023898973,12,3,US
Kiran Garimella,https://openalex.org/A5063557800,https://api.openalex.org/works?filter=author.id:A5063557800,176,39,US
Hazem Ibrahim,https://openalex.org/A5101854927,https://api.openalex.org/works?filter=author.id:A5101854927,25,12,FI
Talal Rahwan,https://openalex.org/A5007282319,https://api.openalex.org/works?filter=author.id:A5007282319,169,32,US
Yasir Zaki,https://openalex.org/A5018129441,https://api.openalex.org/works?filter=author.id:A5018129441,127,16,US
Vikram Balasubramanian,https://openalex.org/A5077466034,https://api.openalex.org/works?filter=author.id:A5077466034,3,2,US
Guodong Ju,https://openalex.org/A5030255458,https://api.openalex.org/works?filter=author.id:A5030255458,48,11,CN
John Duncan,https://openalex.org/A5103042494,https://api.openalex.org/works?filter=author.id:A5103042494,157,41,GB
Kenji Yokotani,https://openalex.org/A5102845677,https://api.openalex.org/works?filter=author.id:A5102845677,30,6,JP
Masanori Takano,https://openalex.org/A5011732280,https://api.openalex.org/works?filter=author.id:A5011732280,70,8,JP
Nobuhito Abe,https://openalex.org/A5074372343,https://api.openalex.org/works?filter=author.id:A5074372343,137,27,JP
Saran Tenzin Tamang,https://openalex.org/A5081816161,https://api.openalex.org/works?filter=author.id:A5081816161,17,6,
Arianna Pera,https://openalex.org/A5040192490,https://api.openalex.org/works?filter=author.id:A5040192490,7,2,DK
Luca Maria Aiello,https://openalex.org/A5034406723,https://api.openalex.org/works?filter=author.id:A5034406723,228,36,IT
Lynnette Hui Xian Ng,https://openalex.org/A5001523273,https://api.openalex.org/works?filter=author.id:A5001523273,94,11,US
Jennifer M. Krebsbach,https://openalex.org/A5077347349,https://api.openalex.org/works?filter=author.id:A5077347349,19,2,US
